Class,Precision,Recall,F1-Score,Support
BenignTraffic,0.7468,0.9212,0.8249,1409.0
DDoS-HTTP_Flood,0.9768,0.9404,0.9582,671.0
DDoS-SlowLoris,0.9697,0.9379,0.9535,886.0
DNS_Spoofing,0.7107,0.8106,0.7574,491.0
DictionaryBruteForce,0.6749,0.7359,0.7041,409.0
DoS-HTTP_Flood,0.9385,0.9105,0.9243,704.0
MITM-ArpSpoofing,0.5439,0.3298,0.4106,94.0
Recon-HostDiscovery,0.9929,0.9838,0.9883,4433.0
Recon-OSScan,0.9697,0.9159,0.9421,1713.0
SqlInjection,0.7648,0.6639,0.7108,485.0
VulnerabilityScan,0.9648,0.9191,0.9414,2597.0
accuracy,,,0.9192,
macro avg,0.8412,0.8245,0.8287,13892.0
weighted avg,0.9245,0.9192,0.9202,13892.0
