Class,Precision,Recall,F1-Score,Support
Injection_normal,0.8490,0.8465,0.8477,684.0
MITM_normal,0.6074,0.6405,0.6235,331.0
normal_DDoS,0.9912,0.9874,0.9893,5141.0
normal_DoS,0.9118,0.8455,0.8774,110.0
normal_XSS,0.9823,0.9699,0.9760,2457.0
normal_backdoor,0.6250,0.4305,0.5098,151.0
normal_pcaps,0.7436,0.6374,0.6864,91.0
normal_runsomware,0.4644,0.7799,0.5821,259.0
normal_scanning,0.9961,0.9924,0.9943,5928.0
password_normal,0.9503,0.9053,0.9272,1077.0
accuracy,,,0.9567,
macro avg,0.8121,0.8035,0.8014,16229.0
weighted avg,0.9614,0.9567,0.9581,16229.0
