Class,Precision,Recall,F1-Score,Support
BitTorrent,1.0000,1.0000,1.0000,752.0
Cridex,0.9981,1.0000,0.9990,1041.0
FTP,1.0000,1.0000,1.0000,3082.0
Facetime,1.0000,1.0000,1.0000,600.0
Geodo,0.9983,0.9994,0.9988,1737.0
Gmail,0.9988,0.9977,0.9983,863.0
Htbot,0.9945,0.9891,0.9918,366.0
Miuref,0.9983,0.9966,0.9975,1194.0
MySQL,1.0000,1.0000,1.0000,3449.0
Neris,0.6911,0.8310,0.7546,420.0
Nsis-ay,0.9612,0.9612,0.9612,103.0
Outlook,0.9973,0.9987,0.9980,752.0
Shifu,0.9943,0.9886,0.9914,175.0
Skype,1.0000,1.0000,1.0000,632.0
Tinba,0.9988,1.0000,0.9994,851.0
Virut,0.8799,0.7648,0.8183,642.0
Weibo,1.0000,1.0000,1.0000,268.0
WorldOfWarcraft,1.0000,1.0000,1.0000,458.0
Zeus,1.0000,0.9989,0.9995,929.0
accuracy,,,0.9868,
macro avg,0.9742,0.9750,0.9741,18314.0
weighted avg,0.9877,0.9868,0.9870,18314.0
