Class,Precision,Recall,F1-Score,Support
BitTorrent,1.0000,1.0000,1.0000,752.0
Cridex,0.9981,1.0000,0.9990,1041.0
FTP,1.0000,1.0000,1.0000,3082.0
Facetime,1.0000,1.0000,1.0000,600.0
Geodo,0.9994,1.0000,0.9997,1737.0
Gmail,0.9988,0.9965,0.9977,863.0
Htbot,0.9863,0.9863,0.9863,366.0
Miuref,0.9983,0.9966,0.9975,1194.0
MySQL,1.0000,1.0000,1.0000,3449.0
Neris,0.7659,0.7167,0.7405,420.0
Nsis-ay,0.9519,0.9612,0.9565,103.0
Outlook,0.9973,0.9973,0.9973,752.0
Shifu,0.9942,0.9829,0.9885,175.0
Skype,0.9984,1.0000,0.9992,632.0
Tinba,0.9988,1.0000,0.9994,851.0
Virut,0.8251,0.8598,0.8421,642.0
Weibo,0.9963,1.0000,0.9981,268.0
WorldOfWarcraft,1.0000,1.0000,1.0000,458.0
Zeus,1.0000,0.9989,0.9995,929.0
accuracy,,,0.9874,
macro avg,0.9742,0.9735,0.9738,18314.0
weighted avg,0.9873,0.9874,0.9873,18314.0
